City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,43.05,84,14,1.01,few clouds
1,Isangel,VU,-19.55,169.2667,78.3,83,100,8.46,overcast clouds
2,Luderitz,NA,-26.6481,15.1594,61.3,89,1,4.07,clear sky
3,Malyye Derbety,RU,47.9547,44.6808,45.46,74,100,12.08,overcast clouds
4,Hithadhoo,MV,-0.6,73.0833,81.72,78,78,12.64,broken clouds
5,Mataura,NZ,-46.1927,168.8643,57.47,96,99,3.44,light rain
6,Roald,NO,62.5833,6.1333,39.34,60,75,13.8,broken clouds
7,Atuona,PF,-9.8,-139.0333,78.28,74,4,18.41,clear sky
8,Kapaa,US,22.0752,-159.319,66.18,82,40,1.99,light rain
9,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,69,1,3.44,clear sky
10,Sayyan,YE,15.1718,44.3244,48.74,30,0,3.98,clear sky
11,La Plata,AR,-34.9215,-57.9545,76.03,50,76,11.27,broken clouds
12,Busselton,AU,-33.65,115.3333,58.08,77,0,9.84,clear sky
13,Hilo,US,19.7297,-155.09,67.73,93,90,8.05,heavy intensity rain
14,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,14,10.49,few clouds
15,Provideniya,RU,64.3833,-173.3,11.84,83,88,3.58,overcast clouds
16,Lebu,CL,-37.6167,-73.65,60.22,66,0,20.47,clear sky
17,Shetpe,KZ,44.1667,52.1167,37.53,55,6,15.64,clear sky
18,Deputatskiy,RU,69.3,139.9,-39.78,96,26,2.33,scattered clouds
19,Avarua,CK,-21.2078,-159.775,77.05,88,75,3.44,broken clouds
20,Solnechnyy,RU,50.7214,136.6319,-5.01,90,34,7.0,light snow
21,Souris,CA,49.6172,-100.2612,26.74,82,100,6.38,overcast clouds
22,Rijeka,HR,45.3431,14.4092,47.01,81,75,10.36,broken clouds
23,Beloha,MG,-25.1667,45.05,76.42,69,0,5.46,clear sky
24,Rikitea,PF,-23.1203,-134.9692,75.69,73,22,12.28,few clouds
25,Port-Gentil,GA,-0.7193,8.7815,82.36,83,75,12.66,broken clouds
26,Port Elizabeth,ZA,-33.918,25.5701,64.69,77,90,13.8,light rain
27,Sao Filipe,CV,14.8961,-24.4956,76.33,71,100,10.38,overcast clouds
28,Saint Anthony,US,45.0205,-93.218,34.75,51,90,4.0,overcast clouds
29,Severo-Kurilsk,RU,50.6789,156.125,32.59,66,78,30.6,broken clouds
30,Sawakin,SD,19.1059,37.3321,81.46,66,3,7.49,clear sky
